iter	F1	Logloss
270	0.8668959098	0.2922559276
271	0.8669912394	0.2921212384
272	0.8669062453	0.2920020601
273	0.867028876	0.2918694166
274	0.8670270806	0.2918282771
275	0.8668689042	0.2917405114
276	0.8669474734	0.2916440046
277	0.8669711556	0.2915752651
278	0.8670525469	0.2915268907
279	0.8672063596	0.2914581884
280	0.8671504214	0.2913783271
281	0.8671622483	0.2912421127
282	0.8672317955	0.2911315083
283	0.8671970218	0.2911159229
284	0.8672317955	0.2910350572
285	0.8673196231	0.2909417121
286	0.867461629	0.2908297128
287	0.8676089956	0.2907545754
288	0.8677911494	0.2906823394
289	0.8678489253	0.2906049517
290	0.8678276976	0.2905493612
291	0.868025151	0.2904547142
292	0.8680887415	0.2903841706
293	0.8683773847	0.2902702185
294	0.8683226165	0.2902484584
295	0.8684399335	0.2901511146
296	0.8683734101	0.2899978084
297	0.8683581622	0.2898543779
298	0.8682720962	0.2897679513
299	0.8684016724	0.2896795161
300	0.8683904005	0.2896272919
301	0.8686090001	0.2894418663
302	0.8686007432	0.2894203108
303	0.8686224723	0.2893090369
304	0.8686224723	0.2892497825
305	0.8686324666	0.2891919044
306	0.8686837431	0.2890678162
307	0.8688562255	0.2889524878
308	0.8689670377	0.2888736866
309	0.8688957863	0.2887746132
310	0.8689618594	0.2886604193
311	0.8690905916	0.288473357
312	0.8692547979	0.2883307262
313	0.8691288068	0.2882552355
314	0.8692627452	0.2881610534
315	0.8692761573	0.2880746269
316	0.8693191944	0.2880168418
317	0.869387029	0.2879630925
318	0.8696637713	0.287828552
319	0.8696686354	0.2877347791
320	0.8695229826	0.2875869408
321	0.8695825542	0.287449313
322	0.8698840581	0.2873613985
323	0.8699735201	0.2872497154
324	0.8700663487	0.2871595134
325	0.8702170451	0.2870410977
326	0.8704157857	0.2869440143
327	0.8704058396	0.2868614748
328	0.870361132	0.2867891458
329	0.8705697006	0.2866809777
330	0.8706557731	0.2865047211
331	0.8707203532	0.2864227768
332	0.8707766497	0.2863711663
333	0.8707898751	0.2861944448
334	0.8708527818	0.2861611351
335	0.8709140263	0.2860458625
336	0.870827957	0.2859932478
337	0.8709984402	0.2858793142
338	0.8710216141	0.2858266065
339	0.8709653389	0.2857959564
340	0.8709769254	0.2857363115
341	0.8710629972	0.2856724819
342	0.8710629972	0.2855882314
343	0.8711606484	0.2855132428
344	0.8711143123	0.2854238963
345	0.8711275685	0.2852795359
346	0.8712020818	0.2851578282
347	0.8711011075	0.2850689653
348	0.8711424766	0.285013877
349	0.8712120089	0.2848955356
350	0.8712749062	0.2848511042
351	0.8713046783	0.2847510078
352	0.8714106067	0.2846773955
353	0.8714916862	0.2846242786
354	0.8716257109	0.284529148
355	0.8716588385	0.2844095234
356	0.8716984868	0.2843487626
357	0.8717498076	0.2842746854
358	0.8718276056	0.2840279596
359	0.8719914936	0.2839648368
360	0.8720444422	0.2838914662
361	0.8720692995	0.2838517402
362	0.8721353767	0.2837485007
363	0.8722313617	0.2835842028
364	0.8722479353	0.2835418544
365	0.872266119	0.2834882167
366	0.8722974139	0.2834072023
367	0.8722875192	0.2833306329
368	0.872451403	0.2832486699
369	0.8723752086	0.2831640102
370	0.8724428418	0.283075575
371	0.8725601751	0.2830274239
372	0.8727122322	0.2829583868
373	0.8727651445	0.2828880478
374	0.8727982986	0.2828406964
375	0.8728381561	0.2827626577
376	0.8727836476	0.2826375652
377	0.8728314553	0.2825242454
378	0.872871317	0.2824562312
379	0.8729506933	0.282383493
380	0.8729901932	0.2823044128
381	0.8729720283	0.2822403415
382	0.8730166483	0.2821999645
383	0.8729905674	0.2820870538
384	0.8729672759	0.2819999019
385	0.873097591	0.2819267174
386	0.8731718101	0.2817522463
387	0.8731193077	0.2816755838
388	0.8731493221	0.2814969466
389	0.8733428148	0.2814507111
390	0.8732946209	0.2813682646
391	0.8732520029	0.2813110189
392	0.8732188253	0.2812316783
393	0.8733910175	0.2811660261
394	0.8733993137	0.281125928
395	0.8735580562	0.2809892115
396	0.8735217379	0.2809325424
397	0.8735450665	0.2808731392
398	0.8736011076	0.2807576434
399	0.8736177039	0.2807211906
400	0.8736094057	0.2806340016
401	0.873735453	0.2805884356
402	0.8738589039	0.2805434276
403	0.8739019548	0.2804909058
404	0.8736223882	0.2803878709
405	0.8738091097	0.2803658691
406	0.8738272611	0.2803035832
407	0.8738853551	0.2802176588
408	0.873957956	0.2802000647
409	0.8740622031	0.280117767
410	0.8740803503	0.280047614
411	0.8741446323	0.2800004858
412	0.8741778374	0.2799203455
413	0.8742602519	0.2798706321
414	0.874306373	0.2798121031
415	0.8741710776	0.2797471576
416	0.8742685536	0.2796516364
417	0.8743727906	0.2796118732
418	0.8742577833	0.2795084663
419	0.8745275139	0.2793996659
420	0.8745432595	0.2793052979
421	0.8745432595	0.2792432538
422	0.874695887	0.2791986549
423	0.8747072454	0.2791221971
424	0.8747601545	0.2790295959
425	0.8748077913	0.2789735776
426	0.8748327235	0.278921186
427	0.8748379966	0.2788971384
428	0.8748841095	0.2788018776
429	0.8749566673	0.2787111362
430	0.8750269426	0.2786253978
431	0.8750911862	0.2785630933
432	0.8751070484	0.2785139193
433	0.8750428166	0.2784516334
434	0.8749558906	0.2783907424
435	0.8751592114	0.2782989967
436	0.8752650201	0.2782777016
437	0.8751100908	0.278218317
438	0.8752302529	0.2781397948
439	0.8751131101	0.2780895978
440	0.8751630033	0.2780350674
441	0.8752265249	0.2778961005
442	0.8753633203	0.2776271311
443	0.8754608179	0.2775369849
444	0.8755719604	0.2774996022
445	0.8755538264	0.2774745688
446	0.875615055	0.277408991
447	0.8755431648	0.2773413674
448	0.8755612961	0.2772984796
449	0.875616547	0.2772029584
450	0.8756959043	0.2771016718
451	0.8757586157	0.2770341969
452	0.8757072028	0.2769327057
453	0.875826675	0.2768844802
454	0.8758893814	0.276787434
455	0.8758991859	0.2767165556
456	0.8760329032	0.2766947212
457	0.8760843197	0.2766681441
458	0.8761372119	0.276599107
459	0.8761313173	0.2765509001
460	0.876120564	0.2764399795
461	0.8761901027	0.2763786793
462	0.8761778699	0.2763023517
463	0.8762292829	0.2762929781
464	0.8761803064	0.2762140839
465	0.8763193896	0.2761330694
466	0.8762806982	0.2761140061
467	0.8762958801	0.2760407658
